id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
kava,70,KAVA,Kava,1082860629.0000000000000000,1082860679.0000000000000000,716708728.3655135656352997,12004207.1284277709802887,0.6618660880000593,0.5338693113306363,0.6376416686790257,https://www.mintscan.io/kava
nexo,71,NEXO,Nexo,560000011.0000000000000000,,701505058.7534229994150996,1380243.3926856236995694,1.2526875803104636,-1.7783526681615504,1.2574036518809518,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
pancakeswap,72,CAKE,PancakeSwap,248358713.1812547000000000,450000000.0000000000000000,672526915.4542474936732693,19497880.6325663361076790,2.7078853277977429,-0.9909665512955370,2.7028876087966350,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
gatetoken,73,GT,GateToken,96469467.5745473500000000,,668721734.8357811450461106,8919003.3376756746827768,6.9319521673427137,0.6553733916601339,6.8661299337066318,
synthetix-network-token,74,SNX,Synthetix,233716733.4900000000000000,212424133.0000000000000000,666589938.7794109430322970,22358042.4105129373609252,2.8521275683836828,-2.1199601133579182,2.8879603499124341,https://etherscan.io/token/0xc011a72400e58ecd99ee497cf89e3775d4bd732f
klaytn,75,KLAY,Klaytn,3623384701.0916276000000000,,657510964.3024177326327093,5332547.3010895873778470,0.1814631949249903,1.0713159409354034,0.1780851291915694,https://scope.klaytn.com/blocks
oasis-network,76,ROSE,Oasis Network,6713599876.0000000000000000,10000000000.0000000000000000,615458834.2093922050962560,16188422.9205838308186204,0.0916734457782560,-1.2317261836747373,0.0926444411887339,https://www.oasisscan.com/
ribbon-finance,77,RBN,Ribbon Finance,537093440.4611390000000000,,612602540.8061430662242750,1374502.4070959199356552,1.1405883867808426,0.5013174992523086,1.1391919867193719,https://etherscan.io/token/0x6123B0049F904d730dB3C36a31167D9d4121fA6B
theta-fuel,78,TFUEL,Theta Fuel,6516389270.0000000000000000,,559169457.5188430721408210,4485497.6023392880540058,0.0858097075466523,0.6012089782213799,0.0840881989478607,https://explorer.thetatoken.org/
wemix,79,WEMIX,WEMIX,356054416.3691892600000000,980000000.0000000000000000,548530690.7363224478450984,3195118.0750158527643727,1.5405810615407631,1.8794249926455943,1.5295376271175679,https://scope.klaytn.com/token/0x5096db80b21ef45230c9e423c373f1fc9c0198dd?tabId=kctTransfer
wootrade,80,WOO,WOO,1854429922.4487080000000000,,520540178.7494417244480494,12420688.5321159783120747,0.2807009164639056,-0.3789948866672383,0.2813134273511497,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
curve-dao-token,81,CRV,Curve DAO Token,1186569634.0000000000000000,3303030299.0000000000000000,511068223.1766102606619626,9913940.9709793943490922,0.4307106877948389,0.1850676000247831,0.4277957562582506,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
trueusd,82,TUSD,TrueUSD,509701467.0100000000000000,,510023441.1437644294126743,10076520.8360835673022522,1.0006316915971484,0.0079117361984099,1.0016347504812650,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
iotex,83,IOTX,IoTeX,9441378955.0000000000000000,10000000000.0000000000000000,506038885.7494776243123875,12190114.5614811070811473,0.0535979848030025,1.3377574653561335,0.0532948447307701,https://etherscan.io/token/0x6fb3e0a217407efff7ca062d46c26e5d60a14d69
ocean-protocol,84,OCEAN,Ocean Protocol,568381102.7486407000000000,1410000000.0000000000000000,491875975.6997939672333978,27925579.3026011698156584,0.8653981867467537,2.3239570849476946,0.8533597606170799,https://etherscan.io/token/0x7AFeBBB46fDb47ed17b22ed075Cde2447694fB9e
superfarm,85,SUPER,SuperVerse,487776093.4169172600000000,1000000000.0000000000000000,475441741.9089934096693660,10056524.3190046679635624,0.9747130872660844,1.0491437298081906,0.9401983542537190,https://etherscan.io/token/0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55
